Test Number, OperandA, OperandB, Result, Exception, Exp Result, Exp Exception
1,          1,          2,          3,0,          2,0
2,          2,         -4,          0,0,         -8,0
3,          4,          8,          0,0,         32,0
4,         -8,         16,          0,0,       -128,0
5,         16,         32,          0,0,        512,0
6,         32,        -64,          0,0,      -2048,0
7,         64,        128,          0,0,       8192,0
8,       -128,        256,          0,0,     -32768,0
9,        256,        512,          0,0,     131072,0
10,        512,      -1024,          0,0,    -524288,0
11,       1024,       2048,          0,0,    2097152,0
12,      -2048,       4096,          0,0,   -8388608,0
13,       4096,       8192,          0,0,   33554432,0
14,       8192,     -16384,          0,0, -134217728,0
15,      16384,      32768,          0,0,  536870912,0
16,     -32768,      65536,          0,0,-2147483648,0
17,      65536,     131072,          0,0,          0,1
18,-2147483648,          2,          3,0,          0,1
